img_ids,height,width
162781,463,640
674799,480,720
235935,635,385
622873,464,640
326231,613,640
580590,640,393
638225,694,436
949543,533,800
512696,375,500
893843,700,591
210630,512,640
694431,340,640
879606,709,800
382187,640,640
207576,638,425
640404,668,502
60272,415,640
36222,620,480
751247,428,640
668115,640,480
434785,480,640
63789,480,640
932247,800,533
302131,500,500
601227,433,640
401832,388,640
200599,444,640
596632,514,640
606737,640,427
256910,384,640
239645,480,640
449657,720,480
801278,448,640
276186,640,375
854452,782,514
140090,430,580
547974,480,640
363711,427,640
350950,427,640
444663,720,541
743284,720,654
813292,445,623
951308,536,800
295092,390,520
63198,512,640
805606,720,482
173582,563,600
673120,540,720
10095,450,600
827944,481,720
4902,480,640
567563,640,404
885066,577,800
651973,612,720
347098,508,640
716652,720,480
324529,490,640
347049,377,624
588953,446,640
258123,640,408
476835,640,546
529690,523,640
758327,576,720
925910,576,800
501989,500,640
485184,415,634
248176,640,437
912395,636,800
850861,642,800
413940,640,480
346630,480,640
635300,447,660
847686,652,800
759696,456,640
251357,640,533
544333,438,625
901650,718,555
365852,427,640
338392,357,595
777307,640,427
284535,640,427
90107,640,480
941916,533,800
937196,562,800
676646,427,640
886558,553,800
805180,576,720
528904,640,479
612751,640,524
158187,640,459
811322,648,720
70902,415,614
571773,416,640
298490,620,620
657081,476,640
370560,300,400
44802,341,626
935830,800,530
639729,720,480
50812,486,640
920095,574,800
508107,252,640
632209,720,486
102698,306,400
457893,288,432
382334,640,629
194046,640,426
881227,559,800
564231,720,532
80340,518,640
627231,449,640
7722,640,480
81286,590,590
362159,640,474
822555,720,503
276419,640,499
405831,398,600
772152,720,680
758135,566,720
245981,640,529
84673,484,640
326383,619,640
822697,600,450
133533,600,410
343288,457,640
405191,492,600
569403,553,415
693395,640,428
588965,428,640
155673,480,630
859704,500,800
517720,401,640
131326,465,620
490085,638,480
18227,465,640
155571,640,440
34102,480,640
165526,427,640
72770,640,494
938338,622,600
1697,640,480
17816,480,640
483842,573,640
197649,640,451
481945,507,640
935354,800,573
276278,625,417
204432,625,467
505697,578,720
325324,567,640
474896,427,640
504342,486,720
91014,433,640
476952,640,512
926738,597,800
244425,635,433
768644,452,640
906811,750,479
899586,517,800
106505,480,640
443972,478,640
664811,480,720
13446,524,640
720260,636,502
319981,457,640
906750,750,542
490451,434,640
151798,613,640
489282,640,526
886883,532,800
135155,443,620
821871,480,640
936940,588,800
26248,463,580
825033,640,544
444761,479,720
59907,432,640
400113,480,545
905019,533,800
577956,484,720
196666,634,640
892247,509,780
887713,800,651
275891,640,480
375787,600,589
94278,640,457
732232,579,720
172118,480,640
132723,393,640
816476,514,699
115281,421,640
555876,490,640
587636,640,435
110228,400,640
854799,585,780
131684,640,435
395639,566,720
776936,640,444
254560,480,640
706925,425,640
936023,800,533
547387,397,600
190734,572,417
650819,605,710
390760,414,614
845131,625,800
807144,451,640
403755,720,538
143546,421,590
526984,422,640
51067,277,432
425931,512,640
15644,480,640
483668,640,426
555062,428,640
447655,376,720
745820,480,720
675634,503,707
372060,481,640
511623,480,640
482287,640,444
248246,427,640
830273,557,720
658521,484,720
270879,476,636
935913,533,800
365221,565,640
853789,534,800
831395,426,640
560442,421,640
420909,427,640
41792,480,640
38200,386,500
547595,578,470
374860,429,640
625828,498,640
659660,417,640
642347,427,640
543106,426,640
203250,512,640
910771,770,800
191176,489,600
115174,625,529
764578,623,640
74271,479,640
530617,512,640
377240,167,250
131366,414,640
747259,427,640
808097,576,720
531393,600,640
335260,547,640
2345,480,640
118644,600,382
287748,486,640
603031,640,480
830530,451,720
677795,640,395
238742,427,640
864407,533,800
297112,474,640
93616,449,552
39879,540,597
54834,412,640
927379,544,800
312498,480,640
65801,441,640
165778,430,640
451940,709,720
192806,465,640
390193,539,640
55921,363,580
863543,742,700
704494,467,700
614156,427,640
528407,342,640
217982,640,480
880397,571,800
875112,800,610
403295,512,640
342688,455,600
367001,508,640
699477,533,316
234447,461,640
331335,640,460
4135,480,640
946047,800,534
30585,480,640
888283,786,800
29934,640,441
3835,640,480
801093,516,720
935677,600,800
173374,406,613
97377,600,515
3322,480,640
713936,427,640
389089,266,200
606351,640,427
318177,600,395
381740,720,511
868741,800,730
390357,427,640
315772,512,640
381250,640,470
149586,480,640
460338,500,640
173344,511,640
400864,467,640
265240,427,640
912660,528,704
559475,640,434
70841,640,480
20514,427,640
275945,376,640
452676,480,640
360920,600,468
711753,670,720
166109,414,640
1435,480,640
852756,523,800
822638,720,720
879637,571,800
285438,480,640
935610,800,531
896763,800,600
78464,543,640
269961,496,640
10589,444,640
533924,640,489
651964,640,428
545274,440,640
924243,514,700
943481,800,500
874672,517,700
9371,480,640
924701,533,800
680448,465,640
85650,480,640
109775,448,640
701195,509,720
675000,720,612
140521,640,320
646177,433,640
166803,476,640
604279,640,640
105063,640,640
331492,640,392
896072,533,800
911997,800,781
601114,433,640
68762,640,427
162115,594,640
223631,345,640
240156,640,425
369308,640,425
285718,427,640
339120,640,529
768225,720,496
304620,427,640
52923,640,525
872541,536,800
402485,720,484
223642,490,630
626183,427,640
871352,498,800
822307,480,640
576501,640,427
243355,480,640
533146,640,512
73189,480,640
945857,538,800
588772,429,640
635954,710,720
312150,479,640
233031,427,640
106237,463,640
900485,514,800
7071,480,640
43217,640,480
955675,533,800
63633,450,600
32251,630,561
772430,478,720
397543,472,640
1218,480,640
69618,448,640
604956,476,640
408428,600,450
7739,640,480
313354,457,640
758264,496,720
430397,556,640
257590,586,586
564015,412,720
956700,800,800
315652,578,343
375799,480,634
900679,600,800
183183,524,640
196761,480,640
701207,720,553
194002,484,640
546052,513,640
416682,523,640
955417,800,591
240367,550,467
119416,479,640
86494,640,582
431595,480,640
505684,640,570
295783,427,640
886850,594,800
616242,481,640
815817,440,640
7926,640,480
11025,480,640
11807,584,640
22306,480,640
946442,788,800
590376,424,640
129432,400,600
911283,800,531
249985,464,640
14094,594,494
55136,640,385
67292,447,640
298928,640,427
770584,480,720
822507,381,640
911877,300,400
448617,640,457
231149,499,339
393127,640,480
696411,390,640
92935,480,640
282998,640,585
773034,589,720
874024,532,800
106293,480,640
822441,501,720
275126,435,640
614659,467,640
722322,720,540
743404,480,720
740117,576,720
868067,650,800
846640,571,800
579651,461,640
254372,489,620
179388,512,640
173046,429,640
288927,512,640
333948,490,640
387604,400,300
105021,495,583
93470,412,400
66640,482,640
670560,479,718
356573,472,629
124612,480,534
245254,480,640
614833,486,640
92161,495,640
353654,640,566
533158,640,513
467970,570,640
808851,480,640
96941,640,480
175616,430,637
724347,434,640
855659,800,533
375463,640,640
619785,427,640
614465,517,640
858023,487,800
7993,480,640
952047,800,565
226895,640,427
36060,640,445
206034,453,640
658299,640,640
501486,640,363
108215,619,620
757450,640,720
893972,533,800
202946,640,379
154869,625,640
822232,557,616
294983,567,640
204476,640,528
86750,427,640
245942,406,640
747738,640,498
816566,640,428
111558,536,399
751675,640,532
911396,534,800
148943,400,600
161547,640,516
758300,720,581
124724,564,353
921230,534,800
235405,460,640
698524,720,720
818496,561,720
627695,640,427
915712,600,800
38170,453,550
420750,426,640
949033,800,513
113685,352,640
937988,533,800
106788,640,437
291424,466,640
775119,427,640
818231,720,720
345076,640,426
9332,640,477
934564,800,533
590446,427,640
391490,445,640
316885,640,553
566424,640,640
828939,495,720
423347,430,640
654694,640,427
65565,450,339
598269,638,618
937844,533,800
786589,513,720
138557,450,640
861548,631,800
153239,480,640
892520,499,750
769987,508,720
650539,542,720
778647,408,640
421432,590,370
476776,640,563
348376,640,473
504403,540,720
705200,480,720
402239,640,428
757506,592,720
518662,427,640
321224,480,640
632861,530,720
450751,582,640
414670,545,640
51009,412,637
145241,482,640
105028,425,639
904146,515,800
492432,560,640
626594,563,640
4289,480,640
188910,455,480
410408,480,640
703980,720,516
147473,496,600
172736,413,640
326076,640,492
9579,640,427
161144,563,476
673994,462,640
838551,531,800
286036,471,640
814169,519,720
65257,602,619
130,480,640
745481,469,700
510486,640,360
110556,620,501
195679,480,640
277454,427,640
83511,426,640
236094,433,640
1356,640,480
528364,640,426
254814,336,448
918318,707,800
673607,353,546
851744,779,578
491108,512,640
348989,640,433
616538,640,439
551379,640,521
640802,720,507
876921,800,531
920017,579,800
221615,640,284
476413,622,640
936362,636,800
287866,427,640
608851,640,489
877280,800,711
585783,427,640
911376,600,400
83650,497,640
929688,800,533
249033,640,455
807706,480,720
120711,640,480
486035,640,614
15906,443,463
287807,470,640
816058,640,429
313004,640,640
145074,540,403
926198,488,800
231928,286,294
695627,715,720
237091,640,480
